Price_INR,Area_sqft,BHK,Bathrooms,Latitude,Longitude,Location_Bandra East,Location_Borivali West,Location_Chembur,Location_Goregaon East,Location_Juhu,Location_Kandivali East,Location_Lower Parel,Location_Malad West,Location_Powai,Location_South Mumbai,Location_Worli,Property_Type_Independent House,Property_Type_Studio,Property_Type_Villa
53100000.0,1479.0,2,2,18.99568,72.8302756,False,False,False,False,False,False,True,False,False,False,False,False,False,False
63100000.0,2616.0,3,3,18.99568,72.8302756,False,False,False,False,False,False,True,False,False,False,False,False,False,False
6700000.0,3578.0,3,4,19.0616565,72.8498111,True,False,False,False,False,False,False,False,False,False,False,False,False,False
87900000.0,2579.0,2,2,19.1070215,72.8275275,False,False,False,False,True,False,False,False,False,False,False,False,False,False
93600000.0,1162.0,1,2,19.0117388,72.8178706,False,False,False,False,False,False,False,False,False,False,True,False,False,False
58700000.0,390.0,1,1,19.1852851,72.8358611,False,False,False,False,False,False,False,True,False,False,False,False,False,False
71200000.0,3519.0,3,2,19.1187195,72.9073476,False,False,False,False,False,False,False,False,True,False,False,False,False,False
92600000.0,2102.5,3,3,18.99568,72.8302756,False,False,False,False,False,False,True,False,False,False,False,False,False,True
72200000.0,3536.0,1,2,19.2298129,72.8471376,False,True,False,False,False,False,False,False,False,False,False,False,False,False
19500000.0,2257.0,4,4,19.0616565,72.8498111,True,False,False,False,False,False,False,False,False,False,False,False,True,False
59700000.0,3775.0,1,2,18.9752099,72.8239654,False,False,False,False,False,False,False,False,False,True,False,False,False,False
62600000.0,3255.0,2,3,19.2051958,72.8626165,False,False,False,False,False,True,False,False,False,False,False,False,False,False
45300000.0,3992.0,3,3,19.1187195,72.9073476,False,False,False,False,False,False,False,False,True,False,False,False,True,False
75000000.0,1598.0,4,4,19.0117388,72.8178706,False,False,False,False,False,False,False,False,False,False,True,False,False,False
93800000.0,3139.0,3,3,19.2298129,72.8471376,False,True,False,False,False,False,False,False,False,False,False,False,False,False
92900000.0,1787.0,3,3,19.0117388,72.8178706,False,False,False,False,False,False,False,False,False,False,True,False,False,False
47800000.0,1877.0,2,3,19.1187195,72.9073476,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15800000.0,2622.0,3,4,18.99568,72.8302756,False,False,False,False,False,False,True,False,False,False,False,False,False,False
